title,id,text
AITA for telling my best friend I'll support her but not to come to me with her regrets later?,fmlx75,"My best friend (22/f) is finishing her BA in the summer and works in a very creative field where her career will absolutely require her to get a Masters and take a lot of opportunities in other cities/countries.

She has the talent and drive to make it BIG in her field - every professor or job she's taken so far has said as much and the assessement of industry professionals is the same. If she is disciplined and works hard and takes every opportunity made available to her she could literally become world famous in her field. As her best friend that obviously makes me incredibly proud. This has been her dream and the entire focus of her life since she started down this path at 14.

Earlier today we were talking on the phone (stay in everyone!) and she dropped on me that she and her boyfriend (together for 8 months) have decided not to use condoms anymore and that if she gets pregnant, that'll just be it.

(She's always been flakey about protection and so has her boyfriend. They didn't use condoms until I literally sat them down a month into their relationship after a pregnancy scare and shamed them into using them (they can't use hormonal based protection anymore because my bff's mental health reacts poorly to it).

I was honestly livid. She has her whole life ahead of her, a whole career she's been striving towards and a child would not just maybe bar her from those chances, it would absolutely make them impossible. This honestly just sounds like laziness and an excuse to not use condoms.

I've supported her through a lot of decisions that I thought were not in her best interest (like moving in with her new bf and forgoing doing a Masters in a bigger city just to stay with him) and so I told her that I would support her if she became pregnant but that I would not ever want to her a single word of regret from her if that happened.

She asked me what I meant and I laid it out for her, the fact that she most likely would have to put her career on hold, that her bf would not stay home so she could persue her work (as he has said himself, he's a very traditional sort of macho guy), that the pregnancy would impact her body etc. Then I said again that I love her and that's she's my bff for a reason and that I'd always support her but if she really went through with this, I would not be there to listen to her regrets should she ever have any. And I told her that I personally thought she would regret it.

She started crying and told me that I was horrible and an asshole. I told her it was tough love that she apparently needed after being cooped up with her boyfriend for two weeks without any outside input.

She hang up on me.

So AITA?

&amp;#x200B;

&amp;#x200B;

Edit: Thank you guys for your opinions and your suggestions about how to handle this. I have to agree with what most of you said - I was probably too harsh. We texted for a while before we spoke on the phone again and in the meantime she has apparently talked to her mother who, in her words, ""ripped her an absolute new one for having such a ridiculously stupid idea"". She admits that the idea of a baby came to them because they are so blissfully happy and now being home together all the time they couldn't stop thinking about how wonderful it would be to start a family. I asked her a few of the questions someone in the comments suggested and she admitted that they not only had no way to support a child right now, they also wouldn't know how to even do that because she's determined to put her career first for now. She had a fight about this with her boyfriend too, so the whole situation is a little more messy than it seemed from my end.

Thank you guys again!"
AITA for not letting my dad barrow money continued,eaekfa,"I made a post yesterday about not lending my dad money for food. Ill sum it up. I still live with my father after being sent home from bootcamp and we are having family over for the holidays. He makes good money at his job but has tons of debt trying to keep my sister in college. She doesnt work while in school either. We live in an apartment and he pays almost 1200 a month, some utilities, a car payment, and a few other monthly payments. I have no clue how much debt he has and i dont want to know. I do still live with him at the moment until I move out or decide what I want to go to school for. Anyway he asked to barrow money and I told him I don't feel comfortable letting him barrow money even though he has in the past and always payed me back. I never felt comfortable from the first time he asked. He hates asking but does when he needs it. Thats the thing though he shouldn't need it. 

A day passes which is right now and I feel like a peice of shit as others pointed out I would from the last post. He came home today after going to Wal-Mart for some food and he comes home with some food and a damn laptop for his husbands christmas gift. I talked to my sister about it because I cant talk to anybody about it even her because I am always made out to be a major dick which I might be. She asked me what would you do if he started making you pay rent for the room you use. I straight up told her I would move out without a question. She then said I take things for granted because I live here rent free at the age of 19. I followed up and said I plan to move out within the next 6 months. She always says that he would help me and I know he would but he needs to help himself first. I love him and I did talk to him about his finances in the past and he got absolutely livid and told me its not easy with kids. I agree but still he is always barrowimg money from his mom, a friend, or as soon as I started working me. I dont think its my responsibility to buy food or lend him money.

It just makes me feel like a peice of human garbage for telling him no because I want to keep my money to buy a car and then move out or go to school."
AITA for discussing a new phone plan with my brother before my fiancee?,fd5rlw,"Hey Reddit, love the sub!  Finally(That seems like the wrong word?) have one of my own that happened tonight.

Background: I've been on my family's ($25/mo, very low data cap) phone plan for around 7 years now with my brother, sister, and dad.  My brother and I have both recently switched jobs that have less reliable wi-fi and started running, so we're using a lot more GPS and streaming.  We had been talking about switching to an unlimited data cap plan for a few months now.

My fiancee has also been looking for a new plan, not enjoying the one she's on with her mom.  We don't see exactly eye-to-eye on price point but generally want the same thing from our plans.  She mentioned that she'd like to switch but didn't clarify a whole lot else.

Today I pulled the trigger and found a new plan ($33/mo unlimited), sent the link to my brother and asked if he wanted to swap.  He and my sister agreed quickly and I texted my fiancee asking if she'd like to join us on it.

Tonight over supper she mentioned that she was hurt and felt betrayed that, in her words exactly, ""you aren't considering that we should be starting a life together and putting me first on things like this.""  I was very surprised and, admittedly a little bluntly...I apologized but the damage was done, said that we could switch to our own and I'd drop the family entirely but who I'm on a phone plan with doesn't matter and I'm really just chasing a lower price point, which I/we'd get by having more people on the plan.  So it made more sense to ask my family first since I'm also currently on that setup.

She said that hurt her further and that it shouldn't matter how much it cost and we got into it for a little while before falling silent and not talking since (about 2 hours now).  A piece of info you might want is that we're not hurting for money and have an agreement we're both happy in where we shift part of each paycheck automatically into a joint account to cover couple things.

So, AITA?  Am I not understanding something here about what she's feeling?  I would like to end this fight in a way that makes her happy and it doesn't register to me how something as seemingly small as our phone bill would cause this reaction."
AITA for refusing to take my dads friends son on a trip?,p03xqw,"I have quite a good memory and because of this I am allowed by my parents to head into my local city to enjoy my hobby (trains) as it’s very difficult for me to get lost and they have find my iPhone so can see where I am at any moment. I am 14M and none of my other friends parents let them do this due to the fact of they’re not knowledgeable of it.

 This afternoon my dad was watching a rugby game at the local pub with his friends and their son who is the same age as me. I’ve never been on bad terms with him and have spoken to him lots of times but have never really been interested in being friends with him. I wasn’t with him when my dad and him were speaking but I assume my dad had drank a few beers at the time then began to talk about me. My dad always seems to use my memory and knowledge as his little ‘circus’ trick at parties and events. It’s sort of a ‘dance monkey’ thing. I got home and saw a message on my phone from the friends son. It said about me taking him to London to see the Olympic park.

 I hadn’t received a message from my dad before this about if I was ok with it so was effectively guilt tripped into doing it. I was quite annoyed at this and flew into a fit of rage where I slammed a few doors in the process. It was made even worse when my sister received a similar message from my dads friends daughter effectively saying the same thing. My sister has barely any experience in the city so I guess it’s a hint I’m going to have to do it. I understandably upright refused. My dad called me selfish and stuck up. AITA?

Are there also any tips for how I can make him appreciate me and not use me as a bargaining tool with friends everytime he drinks (which seems to becoming more and more frequent now)."
AITA for wanting my friend's respect,ecpn9x,"I'm very anti-social and it's hard to make friends. A good thing to note is a big part of my anxiety is being a burden on other people and only being tolerated.

I've been friends with this guy since May and usually, he's pretty chill and fun to be around. His favourite form of humour is satire.

However, sometimes he treats my partner and I like we're the worst part of his day. He seems so annoyed when we're online together. He seems to focus on my partner and then when I tell him off he gets mad at me. He'll usually treat me like 'the girl' that's 'stupid' and 'doesn't know anything' when that happens. You can imagine how that feels after a while.

So I asked my stepmum what I should do about it because I didn't want to stop being friends with him. He's genuinely fun to be around when he's not doing any of that. My stepmum told me that I had to stand up for myself and let him know I wouldn't take it.

I finally stood up for myself when he focused on me in a dungeons and dragons game. I was being petty and just left, but I had just about had enough of him treating me like that, like the icing on the cake kind of deal. About a week later, I had my game and we were waiting for one of my players and talking about stuff that had happened. I was semi complaining about something stupid that had happened to me that week and he said 'Shit happens' and I was like 'yea I know' and he turned around and said something like 'Like last week'.

Of course, I was confused, because I don't remember telling him anything about last week. So I asked him what he meant. He reminded me how I left the game and I said ""So you being a dick is just 'shit happening'?"" and his response was just ""Goodbye"" and a hang-up. I had to cancel my game that night. He pesters me about my d&amp;d games being delayed because of dinner too.

The next day, he messaged me saying 'So are we gonna talk about your outburst?'

I thought he'd meant the previous night so I replied 'I didn't have an outburst' then said something like 'are we gonna talk about how you're an egotistical, narcissistic prick' (only because I was kind of annoyed).

and I proceeded to request he stopped treating me like shit and asking him to not be rude. He told me that he doesn't treat me any different from anyone else and that no one deserves respect or gets to demand it. Saying that it should be earned. (I'm solid on the line that everyone should be treated with respect until they prove they don't deserve it). He started getting aggressive and angry at me, while I stayed completely calm.

I told him how his actions make me feel and that all I want is to be treated like a decent human being. He continued to say that if I act like that I'll never get a job or hold a steady job at least. We settled on not resolving it because he kept insisting that I shouldn't be standing up for myself when I feel like I'm being treated disrespectfully. I just said thanks for at least listening to me.

AITA"
AITA for not wanting to quit my job/study to look after my baby full time?,miyrpg,"Long backstory short: I've been with my partner for 5 years, this was an unplanned pregnancy and I only found out I was pregnant a month ago(I'm now 7 months pregnant 😬), I was on birth control and actually had 2 pregnancy tests come back negative(one was too early in the pregnancy and the other was because of the hook effect). As an added bonus my partner and I never expected to be able to have kids naturally as he had cancer a couple of years ago and during treatment he collected and stored sperm that he was told were very poor quality plus I have a big family history or cervical cancer and was supposed to have surgery to remove 2 precancerous lesions a week ago and prep for that surgery was how I found out I was pregnant. 

Now. Obviously it's way to late for an abortion and my partner grew up in the foster/adoption system and got treated like shit so that's not an option either. We've agreed to raise the baby together but over the last couple of days he's repeatedly brought up how I should quit my job and study so I can focus on the baby when he arrives. In theory this would be fine, my partner makes enough money to support us and my part time job pays absolute shit so I had initially agreed to drop my job but not my study. I'm in the middle of writing my masters thesis is Bioscience and if I put it down for a couple of years the likelihood is that my contacts would no longer be available for research work. Not to mention that I was planning on starting my PhD straight after I finish as it will be a direct extension of my masters study and I already have conditional funding for my research that I will lose if I put the project on hold. 

My study is really important to me and I feel like by giving up my job I'm losing a bit of my independence so I dont want to lose this too. We've now had several huge fights because my partner says I'll be neglecting the baby in favor of my research which I have no intention of doing. Hes chalking up my resistance to ""baby hormones"" and I want to check that I'm not TA here?"
AITA for DEMANDING my SIL replace the expensive fabric she and her children DESTROYED with EQUAL fabric?,e4nn5v,"I am STEAMING mad about this and everyone around me is pretending like I'm being a cunt. I'll let you people decide. First, I sew my own clothes. My husband and I live in a very nice house with a HUGE room filled with gorgeous sunlight for my hobbies.

We hosted Thanksgiving. My SIL and her three kids were staying with us, despite that she always treats me like shit for preferring pets over kids.

On Tuesday, as I went to do some last-minute shopping, my SIL texted about a tablecloth for her kids to put down while they did Christmas ornaments. I walked her through the closet with the VERY. CLEARLY. MARKED. TABLECLOTHS.

I got home 3 hours later and checked in on everyone. When I went into the hobby room where everyone was gathered, I saw it. SHE PULLED MY FUCKING ATELIER BRUNETTE FABRIC FROM THE CLOSET. MARKED. FABRIC. This particular style was discontinued several years ago, but I snagged for $25/yard. I had 6 yards. Let me note that fabric is EXPENSIVE and I have always sourced from thrift stores, deep clearance, etc. This was a GIFT to myself.

I fucking screamed ""What the hell are you doing?!"" and ran to the table. She looked alarmed and acted like she had no idea what she'd done. Her fucking kids spilled all kinds of paint all over the fabric. I told everyone to STOP, put DOWN the crafts, and get OUT.

After I fucking cried over that fabric and tried my best to salvage it, I demanded she replace it, and said how. She argued that she had no way of knowing that ""ugly ass"" fabric was for something other than a tablecloth, because it didn't look like anything anyone would ever wear seriously. I said I expected 6 yards.

Black Friday she and the girls handed me a JoAnn Fabric bag. They handed me 6 yards of an absolutely hideous Keepsake Calico fabric. Typically $9.99/yard but on sale for $3.99 this weekend.

I asked her if she was being serious, and she said yes, here's 6 yards of ugly ass fabric. I deadpanned ""Get the fuck out of my house. Now."" and she got very angry and started arguing with me that it's not her fault that I have expensive taste. I told her to leave, now, and not to come back unless she has EQUAL. QUALITY. FABRIC.

Of course I'm being told what an awful, evil person I am because I wouldn't ""graciously"" accept her insult of shit quality quilting cotton. For those who don't know fabric, this was like presenting someone with a 2001 Honda Civic after crashing their 2020 Maserati.

AITA?

**EDITED AT THE REQUEST OF A POSTER:**  To be very clear, SIL had to go *far* out of her way from where I directed her to grab the fabric. It was not even kept in the same room, let alone closet, as the tablecloths which were CLEARLY marked. There was no reason for her to be IN the fabric closet. The was not an ""honest mistake"" by ANY stretch of the phrase. When we were on the phone, I directed her SPECIFICALLY to the linen closet. She had to DELIBERATELY go OUT OF HER WAY to grab the fabric.

**SECOND EDIT:**  The linen closet is next to one of the bathrooms, where I directed her. Each shelf is labeled with what they're for, towels, guest towels, bed, guest bed, etc. I said ""You see the shelf marked tablecloths? There's one with paint on it. You can use that."" The fabric closet is in the master bedroom (NOT the craft room even), and each larger cut of fabric is kept inside of a plastic tub, often times in a vacuuum sealed bag, labeled with the yardage, manufacturer, and fiber content.

**THIRD EDIT:** Several people seem to have a personal issue with my writing style, use of caps, explanation of my large hobby room, etc! These aren't part of the issue, but seem to really upset some of you. I find that very interesting and wonder if it would be the same if it was a man describing his video game dungeon and battle station! I take a lot of pride in coming from a working class background and having a room dedicated to my hobbies. I hope you all get to enjoy a space of your own eventually as well. &lt;3"
AITA for being visibly annoyed by this?,bofalb,"My babe works 2a-10a as it’s normal hours as an opener where he is. Recently they’re understaffed (???) So his manager asked him to pick up another worker on his way to work.. his job is outside the city, he already has to get up earlier for that and now he has to pick someone up?.. someone who is not his responsibility? Who has a phone that somehow fucks up calling an Uber but has no problem saying, “I’m here” as if my babe is her taxi driver. He tells me not to worry about it but I’m not, I’m genuinely annoyed that he has the responsibility not only to do his best but is now liable for someone else?? He gets upset that I’m annoyed but literally it’s the most stupid request a manager can give.. this was also a sort of rant as I haven’t really spoken about it elsewhere, just want unbiased opinions. I say understaffed as in, I have no idea what suddenly happened to the regular person he works with as I know they’re still there.

INFO- Both coworkers mentioned are females but it was left at gender neutral terms so as to leave out the “You’re just jealous (honestly at 38 weeks pregnant, everything annoys me but honestly this leaves me dumbfounded).” But also to keep it even more unbiased as I just have no understanding how they have to be his responsibility."
AITA for overreacting to grinding,9xwclr," So, this is my first post and I'm kinda nervous. 
 I'm currently 17 and there is this thing that has been bothering me recently because I saw the person who did this to me.
 When I was about 13, I was on the school cafeteria and it was pretty crowded and I was in the middle of it. This dude started to grind on me while laughing with his friends, about 2 minutes of him doing this I pushed him down and started to scream and ""punch"" him (it was really light). I ended up going to the principal's office didn't told her what he did. 
 AITA?"
AITA for wanting to live with one parent more that the other?,fkha64,"TL;DR AITA for wanting to live more at one parent's house rather than the other because I find it easier to live and do work there?

I am a senior in hs about to both turn 18 and enter college this upcoming fall semester. During my freshman year, my parents thought it would be for the best for each of them to separate via a dissolution. In retrospect, this is one of the best and worst things to happen to me. Good in the way that I'm happy both of them are able to live without the constant vice of someone they now find aversive, and bad for the reasons I want to discuss further. For some more background, both of them now have healthy relationships, and are both mentally and physically stable and are well to do hard-working people.

Where I've been caught in a rut of thinking recently in relation to this is when I consider the type of person I am. I am very self-motivated and high achieving as well as competitive. This results in quite a bit of selfishness on my end when considering what to do with my time. (Don't get me wrong, I'm also very empathetic and generous). Due to this, I'm conflicted over whether or not to disobey the legal time schedule given to my parents for when they are able to see me. From here on, I will call house A my father's house, and house B my mother's house. House B has everything I need and want, it was the house that my mother and father initially lived in before my father left. Over time, I have been able to acquire many things such as an amazing workspace, computer, and a mini-library to name a few. I also grew up here. House A on the other hand, through no fault of my fathers, he not have these material things. It's not like all of the sudden when he gets a new place he is able to drop three or four grand on all of these duplicate possessions. What results is a house B with everything I need to operate the way I want to, and house A where I have some stuff. There is also a stark difference between these houses, house A is much more authoritative than house B, which is much more laissez-faire. So ideally at house B, I have a much better sleep schedule, every resource I need to succeed in classes (textbooks, workbooks, larger desk), and my computer setup, and I have the day to myself. At house A I have many of the same possessions, but not all of them, and it is more authoritative so I have to spend time doing things I'm told to do such as cook for the family or work in the yard, which I do not enjoy but willingly partake in. This stark contrast going between houses every week is getting to be a bit overbearing and frustrating, as I want the most consistently perfect schedule possible.

In conclusion, do I disobey each house forcefully spending more time at B than A. I really really deeply want to do this because I get so much more work done, and sleep so much better at house B."
